Genome_Bin,GMBC10.059_230,GMBC10.065_422,GMBC10.069_549,GMBC10.077_233,GMBC10.086_415,GMBC10.100_306,GMBC10.113_359,GMBC10.125_231,GMBC10.128_202,GMBC10.129_494
GMBC10.059_230,8,0,0,0,0,0,0,0,0,0
GMBC10.065_422,8,0,0,0,0,0,0,0,0,0
GMBC10.069_549,8,0,0,0,0,0,0,0,0,0
GMBC10.077_233,8,0,0,0,0,0,0,0,0,0
GMBC10.086_415,8,0,0,0,0,0,0,0,0,0
GMBC10.100_306,8,0,0,0,0,0,0,0,0,0
GMBC10.113_359,8,0,0,0,0,0,0,0,0,0
GMBC10.125_231,8,0,0,0,0,0,0,0,0,0
GMBC10.128_202,8,0,0,0,0,0,0,0,0,0
GMBC10.129_494,8,0,0,0,0,0,0,0,0,0
